stream,site,site_id,taxon,total_count,count,phylum,class,order,family,genus,habit,FFG
nf_animas,abv_burrow_cr,NFAaBU,Isoperla,1419,13,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
picayne_gulch,abv_animas,PICaA,Isoperla,7127,90,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
eureka_gulch,abv_sf_animas,EUaSFA,Isoperla,622,1,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
animas,abv_minnie,AaMINN,Isoperla,575,5,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
maggie_gulch,abv_animas,MAGaA,Isoperla,11952,32,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
animas,abv_cunningham,AaCU,Isoperla,2715,11,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
animas,abv_arrastra_cr,AaARR,Isoperla,2028,4,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
hermosa_cr,abv_ditch,HERaD,Isoperla,1768,19,Arthropod,Insecta,Plecoptera,Perlodidae,Isoperla,clinger,predator
nf_animas,abv_burrow_cr,NFAaBU,Krenosmittia,1419,3,Arthropod,Insecta,Diptera,Chironomidae,Krenosmittia,burrower,collector
mineral_cr,abv_mill_cr,MaMIL,Lebertia,397,8,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
mill_cr,abv_mineral_cr,MILaM,Lebertia,12640,80,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
mineral_cr,abv_mf_mineral,MaMFM,Lebertia,120,3,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
nf_animas,abv_burrow_cr,NFAaBU,Lebertia,1419,5,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
sf_animas,abv_avalanche,SFAaAV,Lebertia,5384,8,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
eureka_gulch,abv_sf_animas,EUaSFA,Lebertia,622,7,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
sf_animas,abv_animas,SFAaA,Lebertia,1437,8,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
animas,abv_minnie,AaMINN,Lebertia,575,9,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
animas,abv_cunningham,AaCU,Lebertia,2715,32,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
animas,abv_arrastra_cr,AaARR,Lebertia,2028,44,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
hermosa_cr,abv_ditch,HERaD,Lebertia,1768,6,Arthropod,Arachnida,Trombidiformes,Lebertiidae,Lebertia,NA,NA
hermosa_cr,abv_ditch,HERaD,Lepidostoma,1768,3,Arthropod,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,clinger,shredder
mineral_cr,abv_mill_cr,MaMIL,Limnephilidae,397,5,Arthropod,Insecta,Trichoptera,Limnephilidae,NA,clinger,collector
bear_cr,abv_mineral_cr,BEaM,Limnephilidae,2832,5,Arthropod,Insecta,Trichoptera,Limnephilidae,NA,clinger,collector
animas,abv_minnie,AaMINN,Limnephilidae,575,1,Arthropod,Insecta,Trichoptera,Limnephilidae,NA,clinger,collector
mineral_cr,abv_mill_cr,MaMIL,Megarcys,397,9,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
mill_cr,abv_mineral_cr,MILaM,Megarcys,12640,304,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
sf_mineral_cr,abv_mineral_cr,SFMaM,Megarcys,510,1,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Megarcys,2832,48,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
nf_animas,abv_burrow_cr,NFAaBU,Megarcys,1419,27,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
nf_animas,abv_wf_animas,NFAaWFA,Megarcys,12,1,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
picayne_gulch,abv_animas,PICaA,Megarcys,7127,128,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
animas,abv_eureka,AaEU,Megarcys,260,1,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
sf_animas,abv_avalanche,SFAaAV,Megarcys,5384,120,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
eureka_gulch,abv_sf_animas,EUaSFA,Megarcys,622,17,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
sf_animas,abv_animas,SFAaA,Megarcys,1437,3,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
animas,abv_minnie,AaMINN,Megarcys,575,16,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
maggie_gulch,abv_animas,MAGaA,Megarcys,11952,32,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
animas,abv_cunningham,AaCU,Megarcys,2715,11,Arthropod,Insecta,Plecoptera,Perlodidae,Megarcys,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Microspectra,2832,469,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector
wf_animas,abv_placer_gulch,WFAaPL,Microspectra,40,1,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector
maggie_gulch,abv_animas,MAGaA,Microspectra,11952,80,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector
animas,abv_cunningham,AaCU,Microspectra,2715,5,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector
animas,abv_arrastra_cr,AaARR,Microspectra,2028,4,Arthropod,Insecta,Diptera,Chironomidae,Microspectra,burrower,collector
mineral_cr,abv_sf_mineral,MaSFM,Mucronothrus,90,1,Arthropod,Arachnida,Sarcoptiformes,Trhypochthoniidae,Mucronothrus,NA,NA
animas,abv_minnie,AaMINN,Nanocladius_parvulus,575,2,Arthropod,Insecta,Diptera,Chironomidae,Nanocladius_parvulus,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Neophylax,2832,64,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
nf_animas,abv_burrow_cr,NFAaBU,Neophylax,1419,21,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
picayne_gulch,abv_animas,PICaA,Neophylax,7127,13,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
sf_animas,abv_avalanche,SFAaAV,Neophylax,5384,104,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
maggie_gulch,abv_animas,MAGaA,Neophylax,11952,112,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
animas,abv_cunningham,AaCU,Neophylax,2715,16,Arthropod,Insecta,Trichoptera,Uenoidae,Neophylax,clinger,scraper
mineral_cr,abv_mill_cr,MaMIL,Neoplasta,397,3,Arthropod,Insecta,Diptera,Empididae,Neoplasta,sprawler,predator
mf_mineral_cr,abv_mineral_cr,MFMaM,Neoplasta,47,2,Arthropod,Insecta,Diptera,Empididae,Neoplasta,sprawler,predator
hermosa_cr,abv_ditch,HERaD,Oecetis,1768,3,Arthropod,Insecta,Trichoptera,Leptoceridae,Oecetis,climber,predator
mineral_cr,abv_mill_cr,MaMIL,Oligochaeta,397,1,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Oligochaeta,12640,16,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Oligochaeta,2832,11,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Oligochaeta,1419,8,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
burrow_cr,abv_nf_animas,BUaNFA,Oligochaeta,1163,2,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
nf_animas,abv_wf_animas,NFAaWFA,Oligochaeta,12,1,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
wf_animas,abv_placer_gulch,WFAaPL,Oligochaeta,40,2,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
picayne_gulch,abv_animas,PICaA,Oligochaeta,7127,13,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Oligochaeta,5384,8,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Oligochaeta,622,1,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
maggie_gulch,abv_animas,MAGaA,Oligochaeta,11952,16,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
hermosa_cr,abv_ditch,HERaD,Oligochaeta,1768,48,Annelida,Oligochaeta,NA,NA,NA,burrower,collector
hermosa_cr,abv_ditch,HERaD,Optioservus,1768,22,Arthropod,Insecta,Coleoptera,Elmidae,Optioservus,clinger,collector
mineral_cr,abv_mill_cr,MaMIL,Oreogeton,397,11,Arthropod,Insecta,Diptera,Empididae,Oreogeton,sprawler,predator
mill_cr,abv_mineral_cr,MILaM,Oreogeton,12640,16,Arthropod,Insecta,Diptera,Empididae,Oreogeton,sprawler,predator
maggie_gulch,abv_animas,MAGaA,Oreogeton,11952,64,Arthropod,Insecta,Diptera,Empididae,Oreogeton,sprawler,predator
mf_mineral_cr,abv_mineral_cr,MFMaM,Ormosia,47,1,Arthropod,Insecta,Diptera,Tipulidae,Ormosia,burrower,predator
mineral_cr,abv_sf_mineral,MaSFM,Ormosia,90,1,Arthropod,Insecta,Diptera,Tipulidae,Ormosia,burrower,predator
mill_cr,abv_mineral_cr,MILaM,Ostracoda,12640,80,Arthropod,Ostracoda,NA,NA,NA,NA,NA
sf_mineral_cr,abv_mineral_cr,SFMaM,Ostracoda,510,16,Arthropod,Ostracoda,NA,NA,NA,NA,NA
bear_cr,abv_mineral_cr,BEaM,Ostracoda,2832,80,Arthropod,Ostracoda,NA,NA,NA,NA,NA
nf_animas,abv_burrow_cr,NFAaBU,Ostracoda,1419,3,Arthropod,Ostracoda,NA,NA,NA,NA,NA
wf_animas,abv_placer_gulch,WFAaPL,Ostracoda,40,9,Arthropod,Ostracoda,NA,NA,NA,NA,NA
picayne_gulch,abv_animas,PICaA,Ostracoda,7127,64,Arthropod,Ostracoda,NA,NA,NA,NA,NA
sf_animas,abv_avalanche,SFAaAV,Ostracoda,5384,144,Arthropod,Ostracoda,NA,NA,NA,NA,NA
eureka_gulch,abv_sf_animas,EUaSFA,Ostracoda,622,2,Arthropod,Ostracoda,NA,NA,NA,NA,NA
maggie_gulch,abv_animas,MAGaA,Ostracoda,11952,48,Arthropod,Ostracoda,NA,NA,NA,NA,NA
animas,abv_cunningham,AaCU,Ostracoda,2715,16,Arthropod,Ostracoda,NA,NA,NA,NA,NA
picayne_gulch,abv_animas,PICaA,Pagastia,7127,13,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector
eureka_gulch,abv_sf_animas,EUaSFA,Pagastia,622,1,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector
animas,abv_minnie,AaMINN,Pagastia,575,5,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector
animas,abv_cunningham,AaCU,Pagastia,2715,11,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector
hermosa_cr,abv_ditch,HERaD,Pagastia,1768,3,Arthropod,Insecta,Diptera,Chironomidae,Pagastia,burrower,collector
hermosa_cr,abv_ditch,HERaD,Paraleptophlebia,1768,48,Arthropod,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,swimmer,collector
picayne_gulch,abv_animas,PICaA,Paraleuctra,7127,90,Arthropod,Insecta,Plecoptera,Leuctridae,Paraleuctra,sprawler,shredder
sf_animas,abv_avalanche,SFAaAV,Paraleuctra,5384,16,Arthropod,Insecta,Plecoptera,Leuctridae,Paraleuctra,sprawler,shredder
sf_animas,abv_avalanche,SFAaAV,Parametriocnemus,5384,16,Arthropod,Insecta,Diptera,Chironomidae,Parametriocnemus,burrower,collector
maggie_gulch,abv_animas,MAGaA,Parametriocnemus,11952,16,Arthropod,Insecta,Diptera,Chironomidae,Parametriocnemus,burrower,collector
animas,abv_arrastra_cr,AaARR,Parametriocnemus,2028,4,Arthropod,Insecta,Diptera,Chironomidae,Parametriocnemus,burrower,collector
hermosa_cr,abv_ditch,HERaD,Parametriocnemus,1768,6,Arthropod,Insecta,Diptera,Chironomidae,Parametriocnemus,burrower,collector
burrow_cr,abv_nf_animas,BUaNFA,Parochlus,1163,5,Arthropod,Insecta,Diptera,Chironomidae,Parochlus,burrower,collector
bear_cr,abv_mineral_cr,BEaM,Pericoma,2832,5,Arthropod,Insecta,Diptera,Psychodidae,Pericoma,burrower,collector
nf_animas,abv_burrow_cr,NFAaBU,Pericoma,1419,11,Arthropod,Insecta,Diptera,Psychodidae,Pericoma,burrower,collector
maggie_gulch,abv_animas,MAGaA,Pericoma,11952,1296,Arthropod,Insecta,Diptera,Psychodidae,Pericoma,burrower,collector
animas,abv_arrastra_cr,AaARR,Pericoma,2028,4,Arthropod,Insecta,Diptera,Psychodidae,Pericoma,burrower,collector
hermosa_cr,abv_ditch,HERaD,Pericoma,1768,6,Arthropod,Insecta,Diptera,Psychodidae,Pericoma,burrower,collector
sf_animas,abv_avalanche,SFAaAV,Perlinodes_aurea,5384,16,Arthropod,Insecta,Plecoptera,Perlodidae,Perlinodes,clinger,predator
sf_mineral_cr,abv_mineral_cr,SFMaM,Podmosta,510,24,Arthropod,Insecta,Plecoptera,Nemouridae,Podmosta,sprawler,shredder
eureka_gulch,abv_sf_animas,EUaSFA,Prosimulium,622,3,Arthropod,Insecta,Diptera,Simuliidae,Prosimulium,clinger,filterer
hermosa_cr,abv_ditch,HERaD,Prosimulium,1768,35,Arthropod,Insecta,Diptera,Simuliidae,Prosimulium,clinger,filterer
sf_animas,abv_avalanche,SFAaAV,Protiza,5384,8,Arthropod,Arachnida,Trombidiformes,Hydryphantoidea,Protiza,NA,NA
sf_animas,abv_eureka_gulch,SFAaEU,Protiza,668,1,Arthropod,Arachnida,Trombidiformes,Hydryphantoidea,Protiza,NA,NA
mf_mineral_cr,abv_mineral_cr,MFMaM,Pseudodiamesa,47,2,Arthropod,Insecta,Diptera,Chironomidae,Pseudodiamesa,burrower,collector
mill_cr,abv_mineral_cr,MILaM,Psychoglypha,12640,560,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector
mineral_cr,abv_mf_mineral,MaMFM,Psychoglypha,120,1,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector
mf_mineral_cr,abv_mineral_cr,MFMaM,Psychoglypha,47,3,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector
mineral_cr,abv_sf_mineral,MaSFM,Psychoglypha,90,1,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector
mineral_cr,abv_animas,MaA,Psychoglypha,180,1,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoglypha,clinger,collector
burrow_cr,abv_nf_animas,BUaNFA,Psychoronia,1163,27,Arthropod,Insecta,Trichoptera,Limnephilidae,Psychoronia,clinger,collector
hermosa_cr,abv_ditch,HERaD,Pteronarcella,1768,22,Arthropod,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,clinger,shredder
burrow_cr,abv_nf_animas,BUaNFA,Rheotanytarsus,1163,53,Arthropod,Insecta,Diptera,Chironomidae,Rheotanytarsus,burrower,collector
hermosa_cr,abv_ditch,HERaD,Rheotanytarsus,1768,6,Arthropod,Insecta,Diptera,Chironomidae,Rheotanytarsus,burrower,collector
mineral_cr,abv_mill_cr,MaMIL,Rhithrogena,397,5,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
mill_cr,abv_mineral_cr,MILaM,Rhithrogena,12640,112,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
bear_cr,abv_mineral_cr,BEaM,Rhithrogena,2832,288,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
mineral_cr,abv_animas,MaA,Rhithrogena,180,1,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
nf_animas,abv_burrow_cr,NFAaBU,Rhithrogena,1419,123,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
picayne_gulch,abv_animas,PICaA,Rhithrogena,7127,269,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
animas,abv_eureka,AaEU,Rhithrogena,260,1,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
sf_animas,abv_avalanche,SFAaAV,Rhithrogena,5384,1400,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
sf_animas,abv_eureka_gulch,SFAaEU,Rhithrogena,668,3,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
eureka_gulch,abv_sf_animas,EUaSFA,Rhithrogena,622,41,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
sf_animas,abv_animas,SFAaA,Rhithrogena,1437,99,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
animas,abv_minnie,AaMINN,Rhithrogena,575,11,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
maggie_gulch,abv_animas,MAGaA,Rhithrogena,11952,352,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
animas,abv_cunningham,AaCU,Rhithrogena,2715,272,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
animas,abv_arrastra_cr,AaARR,Rhithrogena,2028,112,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
hermosa_cr,abv_ditch,HERaD,Rhithrogena,1768,6,Arthropod,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,clinger,scraper
sf_mineral_cr,abv_mineral_cr,SFMaM,Rhyacophila_brunnea,510,5,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mineral_cr,abv_mill_cr,MaMIL,Rhyacophila_hyalinata,397,92,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mill_cr,abv_mineral_cr,MILaM,Rhyacophila_hyalinata,12640,320,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mineral_cr,abv_mf_mineral,MaMFM,Rhyacophila_hyalinata,120,6,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Rhyacophila_hyalinata,2832,101,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
nf_animas,abv_burrow_cr,NFAaBU,Rhyacophila_hyalinata,1419,19,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
nf_animas,abv_wf_animas,NFAaWFA,Rhyacophila_hyalinata,12,1,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
picayne_gulch,abv_animas,PICaA,Rhyacophila_hyalinata,7127,154,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_eureka,AaEU,Rhyacophila_hyalinata,260,6,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_avalanche,SFAaAV,Rhyacophila_hyalinata,5384,64,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_eureka_gulch,SFAaEU,Rhyacophila_hyalinata,668,8,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_animas,SFAaA,Rhyacophila_hyalinata,1437,13,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_minnie,AaMINN,Rhyacophila_hyalinata,575,3,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
maggie_gulch,abv_animas,MAGaA,Rhyacophila_hyalinata,11952,352,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_cunningham,AaCU,Rhyacophila_hyalinata,2715,5,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_arrastra_cr,AaARR,Rhyacophila_hyalinata,2028,8,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_mineral_cr,abv_mineral_cr,SFMaM,Rhyacophila_nevadensis,510,5,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_eureka,AaEU,Rhyacophila_nevadensis,260,5,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_minnie,AaMINN,Rhyacophila_nevadensis,575,3,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_arrastra_cr,AaARR,Rhyacophila_nevadensis,2028,48,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
hermosa_cr,abv_ditch,HERaD,Rhyacophila_nevadensis,1768,54,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Rhyacophila_sibirica,2832,75,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
nf_animas,abv_burrow_cr,NFAaBU,Rhyacophila_sibirica,1419,3,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
picayne_gulch,abv_animas,PICaA,Rhyacophila_sibirica,7127,64,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_avalanche,SFAaAV,Rhyacophila_sibirica,5384,16,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_eureka_gulch,SFAaEU,Rhyacophila_sibirica,668,25,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
eureka_gulch,abv_sf_animas,EUaSFA,Rhyacophila_sibirica,622,50,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
maggie_gulch,abv_animas,MAGaA,Rhyacophila_sibirica,11952,1104,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
maggie_gulch,abv_animas,MAGaA,Rhyacophila_sibirica_atrata,11952,32,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
animas,abv_arrastra_cr,AaARR,Rhyacophila_sibirica_atrata,2028,4,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mf_mineral_cr,abv_mineral_cr,MFMaM,Rhyacophila_sibrica,47,4,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mineral_cr,abv_animas,MaA,Rhyacophila_sibrica,180,3,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_mineral_cr,abv_mineral_cr,SFMaM,Rhyacophila_sibrica_atrata,510,4,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mineral_cr,abv_mill_cr,MaMIL,Rhyacophila_vofixa,397,7,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
mf_mineral_cr,abv_mineral_cr,MFMaM,Rhyacophila_vofixa,47,2,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Rhyacophila_vofixa,2832,5,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
nf_animas,abv_burrow_cr,NFAaBU,Rhyacophila_vofixa,1419,40,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
wf_animas,abv_placer_gulch,WFAaPL,Rhyacophila_vofixa,40,2,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
picayne_gulch,abv_animas,PICaA,Rhyacophila_vofixa,7127,64,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_avalanche,SFAaAV,Rhyacophila_vofixa,5384,16,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_eureka_gulch,SFAaEU,Rhyacophila_vofixa,668,8,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
eureka_gulch,abv_sf_animas,EUaSFA,Rhyacophila_vofixa,622,41,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
sf_animas,abv_animas,SFAaA,Rhyacophila_vofixa,1437,83,Arthropod,Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,clinger,predator
bear_cr,abv_mineral_cr,BEaM,Simulium,2832,11,Arthropod,Insecta,Diptera,Simuliidae,Simulium,clinger,filterer
animas,abv_cunningham,AaCU,Simulium,2715,5,Arthropod,Insecta,Diptera,Simuliidae,Simulium,clinger,filterer
animas,abv_arrastra_cr,AaARR,Simulium,2028,620,Arthropod,Insecta,Diptera,Simuliidae,Simulium,clinger,filterer
mineral_cr,abv_mill_cr,MaMIL,Sperchon,397,16,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
mill_cr,abv_mineral_cr,MILaM,Sperchon,12640,128,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
mineral_cr,abv_mf_mineral,MaMFM,Sperchon,120,3,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
bear_cr,abv_mineral_cr,BEaM,Sperchon,2832,91,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
nf_animas,abv_burrow_cr,NFAaBU,Sperchon,1419,24,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
burrow_cr,abv_nf_animas,BUaNFA,Sperchon,1163,2,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
picayne_gulch,abv_animas,PICaA,Sperchon,7127,102,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
sf_animas,abv_avalanche,SFAaAV,Sperchon,5384,72,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
sf_animas,abv_eureka_gulch,SFAaEU,Sperchon,668,3,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
eureka_gulch,abv_sf_animas,EUaSFA,Sperchon,622,7,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
sf_animas,abv_animas,SFAaA,Sperchon,1437,5,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
animas,abv_minnie,AaMINN,Sperchon,575,14,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
maggie_gulch,abv_animas,MAGaA,Sperchon,11952,96,Arthropod,Arachnida,Trombidiformes,Sperchonidae,Sperchon,NA,NA
